Local;L Local en (m);surface en (m²);D en (m);H en (m);Amax en (m);Coef K de Local;Am en m2;Type de detecteur à prévo;L/2D;S/An;nbre de detecteurs à prévo
NAISSANCE;7,4;25;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR SECTEUR CONSULTATION;9,6;22;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR NAISSANCE ;7;19;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR SECTEUR ACCOUCHEMENT ;12;38;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
EXPETANT ;7;20;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
BUREAU SAGE FEMME ;7;20;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
SOIN NOUVEAUX NES ;8,4;20;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
REANIMATION NEO NATALE;9;35;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR SECTEUR CESARIENNE ;11;35;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CESARIENNE ;9,4;40;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
ANASTHESIE;8,4;30;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
SAS;6,3;14;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
LOCAL;13;15;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
SALLE OPERATION ;9,2;40;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR SOIN PREOPERATOIRE ;14;46;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;2;1;2
STOCKAGE;6,2;15;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
DETENTE PERSONNEL;6,5;20;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
BUREAU MEDECIN ;6,5;20;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
BUREAU INFIRMIER;6,5;20;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR MEDICAL BLOC OPERATOIR ;13;43;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR MEDICAL BLOC OPERATOIR ;9,2;11;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
SALLE OPERATION ;9,2;40;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
SALLE OPERATION ;9,2;40;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR SALLE OPERATOIR;15;50;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;2;1;2
SALLE DE REVEIL;8;30;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
LOCAL;6,2;16;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR SOINS  POSE OPERATOIR;15;48;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;2;1;2
LOCAL;4;8;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
LOCAL;4;8;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
INFIRMIER;11;15;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
LOCAL;4;8;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
BUREAU MAJOR;4,6;12;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
SAS TRANSFER;5;20;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
BUREAU MEDECIN ;7,5;24;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
BOX REA;5;20;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
BOX REA;5;20;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
BOX REA;5;20;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
BOX REA;5;20;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR REANIMATION;17;42;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;2;1;2
SAS;4;8;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
STERILISATION;7,3;19;6,7;h<12;80;0,6;48;DETECTEUR THERMIQUE;1;1;1
ARSENAL STERILE;10;40;6,7;h<12;80;0,6;48;DETECTEUR THERMIQUE;1;1;1
LOCAL PHARMACO TECHNIQUE;4,8;10;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
RANGEMENT DISPOSITIFS;4,8;8;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
SECRETARIAT ARCHIVES ;4,8;8;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
RECEPTION ;4,8;8;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
PREPARATION MEDICAMENTS;4,8;10;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
RANGEMENT MEDICAMENT ;4,8;8;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
BUREAU PHARMACIEN ;4,8;8;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
BUREAU MAJOR ;4,8;8;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
